Column Name				Unit				Description
st_rotperr1				days				Stellar Rotational Period Upper Unc.
st_rotperr2				days				Stellar Rotational Period Lower Unc.
st_rotplim								Stellar Rotational Period Limit Flag
st_radv				km/s				Systemic Radial Velocity
st_radverr1				km/s				Systemic Radial Velocity Upper Unc.
st_radverr2				km/s				Systemic Radial Velocity Lower Unc.
st_radvlim								Systemic Radial Velocity Limit Flag
sy_refname								System Parameter Reference
rastr				sexagesimal				RA
ra				decimal				RA
decstr				sexagesimal				Dec
dec				decimal				Dec
raerr1								RA Upper Unc
raerr2								RA Lower Unc
decerr1								Dec Upper Unc
decerr2								Dec Lower Unc
glat				deg				Galactic Latitude
glaterr1				deg				Galactic Latitude Upper Unc
glaterr2				deg				Galactic Latitude Lower Unc
glon				deg				Galactic Longitude
glonerr1				deg				Galactic Longitude Upper Unc
glonerr2				deg				Galactic Longitude Lower Unc
elat				deg				Ecliptic Latitude
elaterr1				deg				Ecliptic Latitude Upper Unc
elaterr2				deg				Ecliptic Latitude Lower Unc
elon				deg				Ecliptic Longitude
elonerr1				deg				Ecliptic Longitude Upper Unc
elonerr2				deg				Ecliptic Longitude Lower Unc
sy_pm				mas/yr				Total Proper Motion
sy_pmerr1				mas/yr				Total Proper Motion Upper Unc
sy_pmerr2				mas/yr				Total Proper Motion Lower Unc
sy_pmra				mas/yr				Proper Motion (RA)
sy_pmraerr1				mas/yr				Proper Motion (RA) Upper Unc
sy_pmraerr2				mas/yr				Proper Motion (RA) Lower Unc
sy_pmdec				mas/yr				Proper Motion (Dec)
sy_pmdecerr1				mas/yr				Proper Motion (Dec) Upper Unc
sy_pmdecerr2				mas/yr				Proper Motion (Dec) Lower Unc
sy_dist				pc				Distance
sy_disterr1				pc				Distance Upper Unc
sy_disterr2				pc				Distance Lower Unc
sy_plx				mas				Parallax
sy_plxerr1				mas				Parallax Upper Unc
sy_plxerr2				mas				Parallax Lower Unc
sy_bmag								B (Johnson) Magnitude
sy_bmagerr1								B (Johnson) Magnitude Upper Unc
sy_bmagerr2								B (Johnson) Magnitude Lower Unc
sy_vmag								V (Johnson) Magnitude
sy_vmagerr1								V (Johnson) Magnitude Upper Unc
sy_vmagerr2								V (Johnson) Magnitude Lower Unc
sy_jmag								J (2MASS) Magnitude
sy_jmagerr1								J (2MASS) Magnitude Upper Unc
sy_jmagerr2								J (2MASS) Magnitude Lower Unc
sy_hmag								H (2MASS) Magnitude
sy_hmagerr1								H (2MASS) Magnitude Upper Unc
sy_hmagerr2								H (2MASS) Magnitude Lower Unc
sy_kmag								Ks (2MASS) Magnitude
sy_kmagerr1								Ks (2MASS) Magnitude Upper Unc
sy_kmagerr2								Ks (2MASS) Magnitude Lower Unc
sy_umag								u (Sloan) Magnitude
